timestamp,role,action,status
2024-07-25 09:00:00,admin,read_all,success
2024-07-25 09:05:00,admin,write_all,success
2024-07-25 09:10:00,admin,execute_all,success
2024-07-25 09:15:00,manager,read_all,success
2024-07-25 09:20:00,manager,write_reports,success
2024-07-25 09:25:00,analyst,read_data,success
2024-07-25 09:30:00,analyst,run_analysis,success
2024-07-25 09:35:00,user,read_public,success
2024-07-25 09:40:00,admin,write_all,failed
2024-07-25 09:45:00,manager,execute_all,failed
2024-07-25 09:50:00,analyst,write_all,failed
2024-07-25 09:55:00,user,read_all,failed
2024-07-25 10:00:00,admin,read_all,success
2024-07-25 10:05:00,manager,read_all,success
2024-07-25 10:10:00,analyst,read_data,success
2024-07-25 10:15:00,user,read_public,success
2024-07-25 10:20:00,admin,execute_all,success
2024-07-25 10:25:00,manager,write_reports,success
2024-07-25 10:30:00,analyst,run_analysis,success
2024-07-25 10:35:00,user,read_public,success
2024-07-25 10:40:00,admin,write_all,success
2024-07-25 10:45:00,manager,read_all,failed
2024-07-25 10:50:00,analyst,write_reports,failed
2024-07-25 10:55:00,user,run_analysis,failedśśśś
